merger,metric,n_pairs,pearson_r,pearson_p,spearman_r,spearman_p,abs_pearson_r,abs_spearman_r
isotropic,spectral_gap,185,0.09092598246822625,0.21836171439139307,0.10779873677548316,0.14414090621363682,0.09092598246822625,0.10779873677548316
isotropic,singular_value_ratio,185,-0.09092598800403662,0.21836168624268085,-0.10779873677548316,0.14414090621363682,0.09092598800403662,0.10779873677548316
isotropic,layerwise_effective_rank,185,-0.05114768631097016,0.4893008564957144,-0.07611858969888383,0.30310280184885996,0.05114768631097016,0.07611858969888383
isotropic,layerwise_effective_rank_mergeability_score,185,0.05114768631097015,0.4893008564957144,0.07611858969888383,0.30310280184885996,0.05114768631097015,0.07611858969888383
isotropic,task_vector_cosine_similarity,185,-0.04463798564843194,0.5462905339882476,-0.11900192848172177,0.10666439689329044,0.04463798564843194,0.11900192848172177
isotropic,task_vector_l2_distance,185,-0.04538250406050284,0.5396110995444604,0.13221604666407596,0.07280868013439808,0.04538250406050284,0.13221604666407596
isotropic,task_vector_dot_product,185,-0.07724277821836958,0.2959967726961197,0.05376811800275476,0.4672904720262364,0.07724277821836958,0.05376811800275476
isotropic,weight_space_angle,185,0.04255691082165387,0.5651736485879911,0.11900192848172177,0.10666439689329044,0.04255691082165387,0.11900192848172177
isotropic,task_vector_magnitude_ratio,185,-0.10049936690753622,0.17347486601533144,-0.10919937265281528,0.1389710835427192,0.10049936690753622,0.10919937265281528
isotropic,singular_value_overlap,185,-0.15260685573914654,0.03810053715117573,-0.19008751605306093,0.009552547851007297,0.15260685573914654,0.19008751605306093
isotropic,subspace_overlap,185,0.0715460503191301,0.33315594144333716,0.13816922297084225,0.06071395035408015,0.0715460503191301,0.13816922297084225
isotropic,right_subspace_overlap,185,0.057855860872168374,0.4340696333098127,0.11441527242875314,0.12095797121432277,0.057855860872168374,0.11441527242875314
isotropic,activation_l2_distance,185,-0.12543347947130126,0.08889758054806982,-0.1628243945679671,0.026798550791113897,0.12543347947130126,0.1628243945679671
isotropic,activation_cosine_similarity,185,0.06504726711146894,0.37903598060502847,0.17398683705720625,0.0178588849992827,0.06504726711146894,0.17398683705720625
isotropic,activation_magnitude_ratio,185,0.06138989738903146,0.40647278370577405,-0.008322316829993874,0.9104820985450512,0.06138989738903146,0.008322316829993874
isotropic,activation_dot_product,185,-0.09286158143410839,0.2086770070136312,0.0728776054631085,0.3242137471189679,0.09286158143410839,0.0728776054631085
isotropic,encoder_gradient_cosine_similarity,185,-0.017487296441940164,0.8132317917224133,0.06334513165384997,0.3916616076339584,0.017487296441940164,0.06334513165384997
isotropic,encoder_gradient_l2_distance,185,0.03406235437302006,0.6453069653072261,-0.14243651888127978,0.05310231121381021,0.03406235437302006,0.14243651888127978
isotropic,encoder_gradient_dot_product,184,0.03636916168028272,0.6240379970656567,0.1257812688137952,0.08888360181732757,0.03636916168028272,0.1257812688137952
isotropic,input_gradient_cosine_similarity,184,0.009669264620105818,0.8963532112385401,0.014768610177890839,0.8422808861773228,0.009669264620105818,0.014768610177890839
isotropic,input_gradient_l2_distance,185,-0.028458784036431213,0.7005814887236272,-0.14214558842502745,0.05359483250762275,0.028458784036431213,0.14214558842502745
isotropic,input_gradient_dot_product,184,-0.03766358159809718,0.6117393668338238,-0.08215543023457486,0.26756337686756215,0.03766358159809718,0.08215543023457486
tsv,right_subspace_overlap_top_k,188,-0.06927313024355805,0.34484989036608465,-0.1960817601071007,0.007000144608669121,0.06927313024355805,0.1960817601071007
tsv,right_subspace_overlap_bottom_k,188,-0.0829239156961549,0.25790271794146197,-0.17022233399533548,0.01951857980743262,0.0829239156961549,0.17022233399533548
tsv,interaction_matrix_overlap_top_k,188,-0.002487461394547188,0.972973689892521,-0.16608655959187546,0.022731309703218083,0.002487461394547188,0.16608655959187546
tsv,interaction_matrix_overlap_bottom_k,188,-0.07637259197152796,0.29754775563794017,-0.18281567675312013,0.01203475136493213,0.07637259197152796,0.18281567675312013
tsv,effective_rank,188,0.18186219715661017,0.012496546260822274,-0.04235647034251009,0.5638391803869321,0.18186219715661017,0.04235647034251009
tsv,effective_rank_mergeability_score,188,-0.1818621971566102,0.012496546260822274,0.04235647034251009,0.5638391803869321,0.1818621971566102,0.04235647034251009
tsv,stable_rank,188,0.1617385021628997,0.026590513530122723,-0.04235647034251009,0.5638391803869321,0.1617385021628997,0.04235647034251009
tsv,spectral_gap,188,-0.10303103995854232,0.15942264812133852,0.04235647034251009,0.5638391803869321,0.10303103995854232,0.04235647034251009
tsv,singular_value_ratio,188,0.10303104499991586,0.1594226275976551,-0.04235647034251009,0.5638391803869321,0.10303104499991586,0.04235647034251009
tsv,layerwise_effective_rank,188,0.18424815009425538,0.011369168169900655,-0.04665568910558284,0.5249130006169749,0.18424815009425538,0.04665568910558284
tsv,layerwise_effective_rank_mergeability_score,188,-0.18424815009425538,0.011369168169900655,0.04665568910558284,0.5249130006169749,0.18424815009425538,0.04665568910558284
tsv,task_vector_cosine_similarity,188,0.08137704685057176,0.2669186205543379,-0.06307146266027715,0.3898545180751156,0.08137704685057176,0.06307146266027715
tsv,task_vector_l2_distance,188,-0.20707171495141155,0.00435465987631288,-0.26292508514363394,0.0002670255397675758,0.20707171495141155,0.26292508514363394
tsv,task_vector_dot_product,188,0.0008835925825318698,0.9903981598705939,-0.19561761424610105,0.007138197107090737,0.0008835925825318698,0.19561761424610105
tsv,weight_space_angle,188,-0.08150120559288607,0.26618712441096704,0.06307146266027715,0.3898545180751156,0.08150120559288607,0.06307146266027715
tsv,task_vector_magnitude_ratio,188,0.097472217259536,0.18327811434132887,-0.04558381918922759,0.5344888274094819,0.097472217259536,0.04558381918922759
tsv,singular_value_overlap,188,0.008450409781165721,0.9083694417614688,-0.03130094937710372,0.6698024339844024,0.008450409781165721,0.03130094937710372
tsv,subspace_overlap,188,-0.04841744345090637,0.509365435745244,-0.3088737193675772,1.6123952598323425e-05,0.04841744345090637,0.3088737193675772
tsv,right_subspace_overlap,188,-0.06927309511825966,0.3448501355749926,-0.1960817601071007,0.007000144608669121,0.06927309511825966,0.1960817601071007
tsv,activation_l2_distance,188,-0.4406116663998762,2.486794347669652e-10,-0.31671543659894114,9.504326756659605e-06,0.4406116663998762,0.31671543659894114
tsv,activation_cosine_similarity,188,0.5156620674588481,3.6551396850247367e-14,0.34937089724355364,8.917927171142757e-07,0.5156620674588481,0.34937089724355364
tsv,activation_magnitude_ratio,188,-0.010748320997404654,0.8836096595610697,0.039354873373710714,0.5918094131328147,0.010748320997404654,0.039354873373710714
tsv,activation_dot_product,188,0.5715559027764966,1.0708634587085096e-17,0.4623380399612945,2.4006488033862753e-11,0.5715559027764966,0.4623380399612945
tsv,encoder_gradient_cosine_similarity,188,0.05965979999936957,0.4160557807661731,0.07563681218519992,0.30224001873601575,0.05965979999936957,0.07563681218519992
tsv,encoder_gradient_l2_distance,188,-0.10778836229925046,0.140924811775704,-0.11855856523001698,0.10513094085970308,0.10778836229925046,0.11855856523001698
tsv,encoder_gradient_dot_product,187,-0.009655459323382961,0.8956533629117535,-0.027262905079590873,0.7110966114952696,0.009655459323382961,0.027262905079590873
tsv,input_gradient_cosine_similarity,187,-0.03299025430097458,0.6539857247289084,-0.009178474673907764,0.9007810157867642,0.03299025430097458,0.009178474673907764
tsv,input_gradient_l2_distance,188,-0.16918417369496175,0.020285631438132876,-0.21441552161658747,0.003129195488202404,0.16918417369496175,0.21441552161658747
tsv,input_gradient_dot_product,187,0.0015945764126811444,0.982719722973135,0.06987036998840894,0.34200134307679664,0.0015945764126811444,0.06987036998840894
arithmetic,right_subspace_overlap_top_k,190,0.054079756952023744,0.45865619991743006,0.019226134526170453,0.7923274507813761,0.054079756952023744,0.019226134526170453
arithmetic,right_subspace_overlap_bottom_k,190,0.19733523848815723,0.006352347260524969,0.07915537276369704,0.2776622688737293,0.19733523848815723,0.07915537276369704
arithmetic,interaction_matrix_overlap_top_k,190,0.06504665797799747,0.37258894828203226,0.036475243661989405,0.6173391155329323,0.06504665797799747,0.036475243661989405
arithmetic,interaction_matrix_overlap_bottom_k,190,0.19591702100585612,0.006748364866992474,0.08281374452584303,0.25598658409842695,0.19591702100585612,0.08281374452584303
arithmetic,effective_rank,190,-0.010104042147704231,0.8899566399912653,-0.027031885658075943,0.7112203096493784,0.010104042147704231,0.027031885658075943
arithmetic,effective_rank_mergeability_score,190,0.01010404214770424,0.8899566399912653,0.027031885658075943,0.7112203096493784,0.01010404214770424,0.027031885658075943
arithmetic,stable_rank,190,-0.014569827136559625,0.8418587197575921,-0.027031885658075943,0.7112203096493784,0.014569827136559625,0.027031885658075943
arithmetic,spectral_gap,190,0.03251837041491534,0.6560345051630795,0.027031885658075943,0.7112203096493784,0.03251837041491534,0.027031885658075943
arithmetic,singular_value_ratio,190,-0.032518380085444255,0.6560344094084982,-0.027031885658075943,0.7112203096493784,0.032518380085444255,0.027031885658075943
arithmetic,layerwise_effective_rank,190,0.014838538152471421,0.8389813673704056,0.010563089198448821,0.8849908898628145,0.014838538152471421,0.010563089198448821
arithmetic,layerwise_effective_rank_mergeability_score,190,-0.014838538152471424,0.8389813673704056,-0.010563089198448821,0.8849908898628145,0.014838538152471424,0.010563089198448821
arithmetic,task_vector_cosine_similarity,190,0.010637587556322155,0.8841854197044997,-0.10449016583005531,0.1513659041938477,0.010637587556322155,0.10449016583005531
arithmetic,task_vector_l2_distance,190,-0.08211763999070407,0.26001845355805286,0.018897213487775687,0.7958016501434562,0.08211763999070407,0.018897213487775687
arithmetic,task_vector_dot_product,190,-0.01983937954649949,0.7858610640280419,-0.0007409471263839463,0.9919049171790757,0.01983937954649949,0.0007409471263839463
arithmetic,weight_space_angle,190,-0.01272836846490965,0.8616314783588566,0.10449016583005531,0.1513659041938477,0.01272836846490965,0.10449016583005531
arithmetic,task_vector_magnitude_ratio,190,-0.03724525349615648,0.6099256245836554,-0.02185575325333709,0.7647046524215992,0.03724525349615648,0.02185575325333709
arithmetic,singular_value_overlap,190,-0.17525284298986318,0.015584632563603072,-0.1892678138963139,0.008913793849884314,0.17525284298986318,0.1892678138963139
arithmetic,subspace_overlap,190,0.08547979296627398,0.2409442417672757,-0.04412965612463348,0.5454674617972088,0.08547979296627398,0.04412965612463348
arithmetic,right_subspace_overlap,190,0.0540797881178288,0.45865594060515996,0.019226134526170453,0.7923274507813761,0.0540797881178288,0.019226134526170453
arithmetic,activation_l2_distance,190,-0.16827094173312518,0.020301860407503546,-0.14095578680209167,0.05240204326062555,0.16827094173312518,0.14095578680209167
arithmetic,activation_cosine_similarity,190,0.14775072579291332,0.041917045649256066,0.16112931889363852,0.02635839974573418,0.14775072579291332,0.16112931889363852
arithmetic,activation_magnitude_ratio,190,0.04097100514821411,0.5746234788141609,-0.03712521262881736,0.6110787693362495,0.04097100514821411,0.03712521262881736
arithmetic,activation_dot_product,190,0.10107225090649168,0.16527499739889623,0.3005769677430904,2.5124310896373463e-05,0.10107225090649168,0.3005769677430904
arithmetic,encoder_gradient_cosine_similarity,190,0.015088761054978528,0.8363039030509984,0.09711306179605789,0.1825546070980894,0.015088761054978528,0.09711306179605789
arithmetic,encoder_gradient_l2_distance,190,-0.08913380967391277,0.22134748677882576,-0.2908624248405004,4.6776184281651124e-05,0.08913380967391277,0.2908624248405004
arithmetic,encoder_gradient_dot_product,189,0.05971619165851708,0.4143603534500788,0.09379328487620439,0.19923919149230018,0.05971619165851708,0.09379328487620439
arithmetic,input_gradient_cosine_similarity,189,-0.0413329116907178,0.572274194953548,-0.03983551032429504,0.586282702427175,0.0413329116907178,0.03983551032429504
arithmetic,input_gradient_l2_distance,190,-0.15858187865174317,0.028865156885908214,-0.2993443886391058,2.721962640741733e-05,0.15858187865174317,0.2993443886391058
arithmetic,input_gradient_dot_product,189,-0.06294023733199497,0.3895694715939942,-0.022944844653372078,0.7539858146469087,0.06294023733199497,0.022944844653372078
